Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",05/06/00,1090872,1999
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30/11/82,320193,1977
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",31/12/12,1551152,2013 (1888)
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",18/09/23,1559720,2008
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",04/03/57,1800,1888
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",01/11/22,947484,1995
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",06/07/11,1467373,1989
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",05/05/97,796343,1982
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",12/10/99,6281,1965
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",04/03/57,7084,1902
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",31/03/81,8670,1949
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",01/12/89,769397,1982
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",19/09/91,1002910,1902
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",04/03/57,4904,1906
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",02/10/98,874761,1981
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",28/05/99,4977,1955
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",31/03/80,5272,1919
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",10/04/07,1267238,1892
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",31/05/16,354190,1927
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",12/07/07,1086222,1998
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",01/07/16,915913,1994
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",19/06/17,1097149,1997
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",13/07/95,899051,1931
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",02/12/13,1579241,1908
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",16/03/95,6951,1967
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",07/06/19,1748790,2019 (1860)
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",20/03/17,2488,1969
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",23/09/13,1037868,1930
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",02/01/92,318154,1980
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",03/10/05,820027,1894
